dateTime,value
13:05:00,3
13:06:00,3
13:07:00,3
13:08:00,1
13:09:00,1
13:10:00,1
13:11:00,1
13:12:00,1
13:13:00,1
13:14:00,1
13:15:00,1
13:16:00,1
13:17:00,1
13:18:00,1
13:19:00,1
13:20:00,1
13:21:00,1
13:22:00,1
13:23:00,1
13:24:00,1
13:25:00,1
13:26:00,1
13:27:00,1
13:28:00,1
13:29:00,1
13:30:00,1
13:31:00,1
13:32:00,1
13:33:00,1
13:34:00,1
13:35:00,1
13:36:00,1
13:37:00,1
13:38:00,1
13:39:00,1
13:40:00,1
13:41:00,1
13:42:00,1
13:43:00,1
13:44:00,1
13:45:00,1
13:46:00,1
13:47:00,1
13:48:00,1
13:49:00,1
13:50:00,1
13:51:00,1
13:52:00,1
13:53:00,1
13:54:00,1
13:55:00,1
13:56:00,1
13:57:00,1
13:58:00,1
13:59:00,1
14:00:00,1
14:01:00,1
14:02:00,1
14:03:00,1
14:04:00,1
14:05:00,1
14:06:00,1
14:07:00,1
14:08:00,1
14:09:00,1
14:10:00,1
14:11:00,1
14:12:00,1
14:13:00,1
14:14:00,1
14:15:00,1
14:16:00,1
14:17:00,1
14:18:00,1
14:19:00,1
14:20:00,1
14:21:00,1
14:22:00,1
14:23:00,1
14:24:00,1
14:25:00,1
14:26:00,1
14:27:00,1
14:28:00,1
14:29:00,1
14:30:00,1
14:31:00,1
14:32:00,1
14:33:00,1
14:34:00,1
14:35:00,1
14:36:00,1
14:37:00,1
14:38:00,1
14:39:00,1
14:40:00,1
14:41:00,1
14:42:00,1
14:43:00,1
14:44:00,1
14:45:00,1
14:46:00,1
14:47:00,1
14:48:00,1
14:49:00,1
14:50:00,1
14:51:00,1
14:52:00,1
14:53:00,1
14:54:00,1
14:55:00,1
14:56:00,1
14:57:00,1
14:58:00,1
14:59:00,1
15:00:00,1
15:01:00,1
15:02:00,1
15:03:00,1
15:04:00,1
15:05:00,1
15:06:00,1
15:07:00,1
15:08:00,1
15:09:00,1
